time,value
2023-08-28T01:47:46.84Z,72
2023-08-28T01:47:54.907Z,74
2023-08-28T01:47:56.913Z,72
2023-08-28T01:48:00.947Z,71
2023-08-28T01:48:17.052Z,72
2023-08-28T01:48:19.071Z,71
2023-08-28T01:48:29.132Z,72
2023-08-28T01:48:31.147Z,71
2023-08-28T01:48:35.175Z,73
2023-08-28T01:48:37.192Z,71
2023-08-28T01:48:43.23Z,72
2023-08-28T01:48:45.246Z,73
2023-08-28T01:48:47.249Z,71
2023-08-28T01:49:17.467Z,73
2023-08-28T01:49:19.487Z,71
2023-08-28T01:49:39.624Z,73
2023-08-28T01:49:41.634Z,71
2023-08-28T01:49:45.668Z,72
2023-08-28T01:49:47.671Z,71
2023-08-28T01:50:03.794Z,73
2023-08-28T01:50:05.803Z,71
2023-08-28T01:50:27.948Z,1
2023-08-28T01:50:29.968Z,0
2023-08-28T11:02:25.712Z,0
2023-08-28T11:08:07.612Z,98
2023-08-28T11:08:09.604Z,99
2023-08-28T11:08:11.624Z,98
2023-08-28T11:08:13.639Z,99
2023-08-28T11:08:17.666Z,98
2023-08-28T11:08:19.684Z,99
2023-08-28T11:08:21.696Z,98
2023-08-28T11:08:33.777Z,99
2023-08-28T11:08:37.803Z,98
2023-08-28T11:08:39.819Z,99
2023-08-28T11:08:41.845Z,98
2023-08-28T11:08:45.866Z,100
2023-08-28T11:08:47.883Z,98
2023-08-28T11:08:49.888Z,100
2023-08-28T11:08:51.903Z,99
2023-08-28T11:08:53.918Z,98
2023-08-28T11:08:55.936Z,99
2023-08-28T11:08:59.967Z,100
2023-08-28T11:09:01.974Z,99
2023-08-28T11:09:03.989Z,98
2023-08-28T11:09:08.052Z,100
2023-08-28T11:09:10.028Z,98
2023-08-28T11:09:12.039Z,99
2023-08-28T11:09:14.059Z,98
2023-08-28T11:09:18.11Z,99
2023-08-28T11:09:20.1Z,98
2023-08-28T11:09:26.149Z,97
2023-08-28T11:09:28.168Z,98
2023-08-28T11:09:36.218Z,100
2023-08-28T11:09:38.228Z,98
2023-08-28T11:09:40.243Z,100
2023-08-28T11:09:42.262Z,98
2023-08-28T11:09:52.339Z,100
2023-08-28T11:09:54.347Z,97
2023-08-28T11:09:56.355Z,98
2023-08-28T11:09:58.38Z,97
2023-08-28T11:10:00.386Z,98
2023-08-28T11:10:02.399Z,97
2023-08-28T11:10:06.431Z,98
2023-08-28T11:10:14.484Z,97
2023-08-28T11:10:16.495Z,98
2023-08-28T11:10:20.532Z,97
2023-08-28T11:10:22.539Z,98
2023-08-28T11:10:24.55Z,100
2023-08-28T11:10:26.567Z,97
2023-08-28T11:10:30.593Z,100
2023-08-28T11:10:32.607Z,98
2023-08-28T11:10:34.624Z,97
2023-08-28T11:10:40.667Z,98
2023-08-28T11:10:42.685Z,97
2023-08-28T11:10:44.692Z,98
2023-08-28T11:10:46.717Z,97
2023-08-28T11:10:48.728Z,98
2023-08-28T11:10:50.733Z,97
2023-08-28T11:10:52.748Z,100
2023-08-28T11:10:54.775Z,97
2023-08-28T11:10:56.78Z,100
2023-08-28T11:10:58.797Z,97
2023-08-28T11:11:26.995Z,96
2023-08-28T11:11:29.008Z,97
2023-08-28T11:11:33.032Z,100
2023-08-28T11:11:35.052Z,97
